iteration	job_id	seed	score	location	menu	equipment	contract	capital	manager_skill	budget	cash	debt	reputation	days	game_over	reason
17	764d6a8e	1780974761	435.60	mall	everyday	automated	spot	all-equity	7	10000	-4716.96	0.00	14.50	232	True	Reputation collapse (< 15)
18	764d6a8e	1780974762	40238.63	mall	everyday	automated	spot	all-equity	6	12000	35589.74	0.00	12.00	182	True	Reputation collapse (< 15)
19	764d6a8e	1780974763	81966.70	mall	everyday	automated	spot	all-equity	7	8000	75415.69	0.00	14.50	243	True	Reputation collapse (< 15)
20	764d6a8e	1780974764	53866.39	mall	everyday	automated	spot	all-equity	6	10000	49369.92	0.00	14.50	168	True	Reputation collapse (< 15)
21	764d6a8e	1780974765	2705.29	mall	everyday	automated	spot	all-equity	8	10000	-1163.21	0.00	14.50	182	True	Reputation collapse (< 15)
22	764d6a8e	1780974766	-2583.85	mall	everyday	automated	spot	all-equity	7	12000	-7529.24	0.00	19.50	198	True	Bankruptcy: deeply negative cash
23	764d6a8e	1780974767	444.15	mall	everyday	automated	spot	all-equity	8	10000	-2509.50	0.00	5.00	182	True	Reputation collapse (< 15)
24	764d6a8e	1780974768	55090.47	mall	everyday	automated	spot	all-equity	7	12000	51108.83	0.00	14.50	139	True	Reputation collapse (< 15)
25	764d6a8e	1780974769	46442.26	mall	everyday	automated	spot	all-equity	7	8000	43181.60	0.00	14.50	133	True	Reputation collapse (< 15)
26	764d6a8e	1780974770	70417.51	mall	everyday	automated	spot	all-equity	6	8000	67203.52	0.00	14.00	105	True	Reputation collapse (< 15)
27	764d6a8e	1780974771	-1201.27	mall	everyday	automated	spot	all-equity	8	15000	-5192.34	0.00	22.00	131	True	Bankruptcy: deeply negative cash
28	764d6a8e	1780974772	48608.08	mall	everyday	automated	spot	all-equity	6	8000	44759.78	0.00	14.00	166	True	Reputation collapse (< 15)
29	764d6a8e	1780974773	45056.94	mall	everyday	automated	spot	all-equity	5	8000	41394.43	0.00	13.50	152	True	Reputation collapse (< 15)
30	764d6a8e	1780974774	30809.12	mall	everyday	automated	spot	all-equity	5	10000	27070.87	0.00	14.00	151	True	Reputation collapse (< 15)
31	764d6a8e	1780974775	27764.95	mall	everyday	automated	spot	all-equity	8	12000	23563.39	0.00	14.50	175	True	Reputation collapse (< 15)
32	764d6a8e	1780974776	-4744.58	mall	everyday	automated	spot	all-equity	8	15000	-8752.39	0.00	21.50	134	True	Bankruptcy: deeply negative cash
33	764d6a8e	1780974777	27871.84	mall	everyday	automated	spot	all-equity	7	12000	23146.07	0.00	14.50	194	True	Reputation collapse (< 15)
34	764d6a8e	1780974778	62678.65	mall	everyday	automated	spot	all-equity	7	10000	58654.51	0.00	14.50	133	True	Reputation collapse (< 15)
35	764d6a8e	1780974779	29654.17	mall	everyday	automated	spot	all-equity	8	10000	25436.13	0.00	14.00	176	True	Reputation collapse (< 15)
36	764d6a8e	1780974780	-846.64	mall	everyday	automated	spot	all-equity	5	15000	-5066.94	0.00	18.00	165	True	Bankruptcy: deeply negative cash
37	764d6a8e	1780974781	9820.74	mall	everyday	automated	spot	all-equity	7	15000	5605.56	0.00	14.50	166	True	Reputation collapse (< 15)
38	764d6a8e	1780974782	-5176.18	mall	everyday	automated	spot	all-equity	6	15000	-9857.66	0.00	21.00	166	True	Bankruptcy: deeply negative cash
39	764d6a8e	1780974783	22068.40	mall	everyday	automated	spot	all-equity	7	15000	17693.53	0.00	14.50	175	True	Reputation collapse (< 15)
40	764d6a8e	1780974784	77775.28	mall	everyday	automated	spot	all-equity	8	12000	75330.80	0.00	13.50	62	True	Reputation collapse (< 15)
41	764d6a8e	1780974785	12066.38	mall	everyday	automated	spot	all-equity	8	10000	6836.72	0.00	14.50	223	True	Reputation collapse (< 15)
42	764d6a8e	1780974786	7516.06	mall	everyday	automated	spot	all-equity	6	12000	3572.41	0.00	14.00	174	True	Reputation collapse (< 15)
43	764d6a8e	1780974787	39232.15	mall	everyday	automated	spot	all-equity	5	12000	33544.91	0.00	14.00	222	True	Reputation collapse (< 15)
44	764d6a8e	1780974788	49106.12	mall	everyday	automated	spot	all-equity	7	10000	45421.40	0.00	12.50	152	True	Reputation collapse (< 15)
45	764d6a8e	1780974789	38345.31	mall	everyday	automated	spot	all-equity	5	12000	34716.75	0.00	14.00	144	True	Reputation collapse (< 15)
46	764d6a8e	1780974790	55847.72	mall	everyday	automated	spot	all-equity	8	8000	53184.62	0.00	14.50	105	True	Reputation collapse (< 15)
47	764d6a8e	1780974791	61190.76	mall	everyday	automated	spot	all-equity	6	12000	57790.78	0.00	14.00	106	True	Reputation collapse (< 15)
48	764d6a8e	1780974792	44391.34	mall	everyday	automated	spot	all-equity	7	10000	39458.40	0.00	14.50	183	True	Reputation collapse (< 15)
49	764d6a8e	1780974793	24654.39	mall	everyday	automated	spot	all-equity	7	8000	20758.78	0.00	14.50	175	True	Reputation collapse (< 15)
50	764d6a8e	1780974794	58425.06	mall	everyday	automated	spot	all-equity	7	8000	55719.50	0.00	14.50	97	True	Reputation collapse (< 15)
51	764d6a8e	1780974795	44949.81	mall	everyday	automated	spot	all-equity	8	12000	40155.39	0.00	14.50	189	True	Reputation collapse (< 15)
52	764d6a8e	1780974796	46336.97	mall	everyday	automated	spot	all-equity	7	12000	42842.07	0.00	14.00	126	True	Reputation collapse (< 15)
53	764d6a8e	1780974797	45374.86	mall	everyday	automated	spot	all-equity	8	12000	40416.31	0.00	14.50	190	True	Reputation collapse (< 15)
54	764d6a8e	1780974798	67946.40	mall	everyday	automated	spot	all-equity	5	12000	63071.48	0.00	14.50	161	True	Reputation collapse (< 15)
55	764d6a8e	1780974799	30159.78	mall	everyday	automated	spot	all-equity	8	10000	26539.48	0.00	14.00	153	True	Reputation collapse (< 15)
56	764d6a8e	1780974800	18928.69	mall	everyday	automated	spot	all-equity	8	12000	14025.10	0.00	14.50	209	True	Reputation collapse (< 15)
57	764d6a8e	1780974801	31443.81	mall	everyday	automated	spot	all-equity	5	8000	27368.53	0.00	14.00	188	True	Reputation collapse (< 15)
58	764d6a8e	1780974802	52739.00	mall	everyday	automated	spot	all-equity	5	12000	47835.83	0.00	14.50	186	True	Reputation collapse (< 15)
59	764d6a8e	1780974803	68922.55	mall	everyday	automated	spot	all-equity	7	8000	64924.30	0.00	14.00	146	True	Reputation collapse (< 15)
60	764d6a8e	1780974804	-461.83	mall	everyday	automated	spot	all-equity	8	15000	-5032.30	0.00	19.00	170	True	Bankruptcy: deeply negative cash
61	764d6a8e	1780974805	63957.48	mall	everyday	automated	spot	all-equity	5	10000	59227.37	0.00	14.00	167	True	Reputation collapse (< 15)
62	764d6a8e	1780974806	79998.66	mall	everyday	automated	spot	all-equity	8	8000	76188.73	0.00	14.50	133	True	Reputation collapse (< 15)
63	764d6a8e	1780974807	74650.98	mall	everyday	automated	spot	all-equity	5	12000	70637.57	0.00	14.00	133	True	Reputation collapse (< 15)
64	764d6a8e	1780974808	-479.58	mall	everyday	automated	spot	all-equity	7	15000	-5029.71	0.00	21.00	160	True	Bankruptcy: deeply negative cash
65	764d6a8e	1780974809	25118.79	mall	everyday	automated	spot	all-equity	7	8000	21231.72	0.00	14.50	169	True	Reputation collapse (< 15)
66	764d6a8e	1780974810	58505.77	mall	everyday	automated	spot	all-equity	8	10000	55237.73	0.00	14.00	112	True	Reputation collapse (< 15)
67	764d6a8e	1780974811	12727.20	mall	everyday	automated	spot	all-equity	6	12000	7081.63	0.00	14.00	237	True	Reputation collapse (< 15)
68	764d6a8e	1780974812	61697.64	mall	everyday	automated	spot	all-equity	8	10000	58092.72	0.00	14.00	124	True	Reputation collapse (< 15)
69	764d6a8e	1780974813	39791.53	mall	everyday	automated	spot	all-equity	6	12000	35176.94	0.00	14.50	182	True	Reputation collapse (< 15)
70	764d6a8e	1780974814	11962.95	mall	everyday	automated	spot	all-equity	5	8000	8437.48	0.00	11.00	182	True	Reputation collapse (< 15)
71	764d6a8e	1780974815	-1438.91	mall	everyday	automated	spot	all-equity	5	15000	-5585.67	0.00	15.50	160	True	Bankruptcy: deeply negative cash
72	764d6a8e	1780974816	51203.88	mall	everyday	automated	spot	all-equity	6	10000	47473.48	0.00	12.26	152	True	Reputation collapse (< 15)
73	764d6a8e	1780974817	16451.17	mall	everyday	automated	spot	all-equity	7	15000	12458.10	0.00	14.00	152	True	Reputation collapse (< 15)
74	764d6a8e	1780974818	7197.77	mall	everyday	automated	spot	all-equity	5	15000	2613.14	0.00	12.00	182	True	Reputation collapse (< 15)
75	764d6a8e	1780974819	66457.48	mall	everyday	automated	spot	all-equity	8	12000	61868.73	0.00	14.50	153	True	Reputation collapse (< 15)
76	764d6a8e	1780974820	88191.51	mall	everyday	automated	spot	all-equity	6	8000	83804.13	0.00	14.50	147	True	Reputation collapse (< 15)
77	764d6a8e	1780974821	-6356.41	mall	everyday	automated	spot	all-equity	6	15000	-11136.86	0.00	16.50	192	True	Bankruptcy: deeply negative cash
78	764d6a8e	1780974822	-548.17	mall	everyday	automated	spot	all-equity	5	12000	-5445.06	0.00	16.50	208	True	Bankruptcy: deeply negative cash
79	764d6a8e	1780974823	48608.59	mall	everyday	automated	spot	all-equity	8	10000	44890.10	0.00	10.50	152	True	Reputation collapse (< 15)
80	764d6a8e	1780974824	39020.03	mall	everyday	automated	spot	all-equity	6	15000	35323.18	0.00	14.50	133	True	Reputation collapse (< 15)
81	764d6a8e	1780974825	34490.62	mall	everyday	automated	spot	all-equity	5	8000	30836.72	0.00	14.00	167	True	Reputation collapse (< 15)
82	764d6a8e	1780974826	-1364.82	mall	everyday	automated	spot	all-equity	7	15000	-6009.43	0.00	17.50	182	True	Bankruptcy: deeply negative cash
83	764d6a8e	1780974827	47637.05	mall	everyday	automated	spot	all-equity	6	10000	43769.06	0.00	12.50	152	True	Reputation collapse (< 15)
84	764d6a8e	1780974828	64178.51	mall	everyday	automated	spot	all-equity	7	15000	61429.69	0.00	14.50	69	True	Reputation collapse (< 15)
85	764d6a8e	1780974829	43583.14	mall	everyday	automated	spot	all-equity	5	10000	38677.23	0.00	14.50	196	True	Reputation collapse (< 15)
86	764d6a8e	1780974830	18113.18	mall	everyday	automated	spot	all-equity	8	10000	14163.28	0.00	14.50	169	True	Reputation collapse (< 15)
87	764d6a8e	1780974831	14414.69	mall	everyday	automated	spot	all-equity	6	12000	10748.92	0.00	14.00	161	True	Reputation collapse (< 15)
88	764d6a8e	1780974832	35681.50	mall	everyday	automated	spot	all-equity	8	10000	31654.15	0.00	14.50	161	True	Reputation collapse (< 15)
89	764d6a8e	1780974833	-2103.67	mall	everyday	automated	spot	all-equity	6	15000	-6391.92	0.00	20.00	152	True	Bankruptcy: deeply negative cash
90	764d6a8e	1780974834	76316.47	mall	everyday	automated	spot	all-equity	8	8000	72746.47	0.00	14.00	127	True	Reputation collapse (< 15)
91	764d6a8e	1780974835	-586.41	mall	everyday	automated	spot	all-equity	8	15000	-5366.60	0.00	24.00	149	True	Bankruptcy: deeply negative cash
92	764d6a8e	1780974836	15547.06	mall	everyday	automated	spot	all-equity	6	15000	11755.61	0.00	14.50	154	True	Reputation collapse (< 15)
93	764d6a8e	1780974837	96269.08	mall	everyday	automated	spot	all-equity	6	10000	93551.21	0.00	14.00	62	True	Reputation collapse (< 15)
94	764d6a8e	1780974838	5187.15	mall	everyday	automated	spot	all-equity	8	12000	1108.78	0.00	14.00	185	True	Reputation collapse (< 15)
95	764d6a8e	1780974839	-1654.49	mall	everyday	automated	spot	all-equity	6	15000	-5539.46	0.00	23.00	132	True	Bankruptcy: deeply negative cash
96	764d6a8e	1780974840	18238.33	mall	everyday	automated	spot	all-equity	5	12000	13353.85	0.00	14.00	211	True	Reputation collapse (< 15)
97	764d6a8e	1780974841	51154.76	mall	everyday	automated	spot	all-equity	5	8000	47120.40	0.00	14.00	166	True	Reputation collapse (< 15)
98	764d6a8e	1780974842	75394.44	mall	everyday	automated	spot	all-equity	8	8000	71702.60	0.00	14.00	133	True	Reputation collapse (< 15)
99	764d6a8e	1780974843	-778.60	mall	everyday	automated	spot	all-equity	7	15000	-5135.23	0.00	22.00	146	True	Bankruptcy: deeply negative cash
0	21682349	1780974755	34920.23	mall	everyday	automated	spot	all-equity	5	12000	31120.75	0.00	13.00	152	True	Reputation collapse (< 15)
1	21682349	1780974756	48213.57	mall	everyday	automated	spot	all-equity	8	10000	44116.14	0.00	14.00	155	True	Reputation collapse (< 15)
2	21682349	1780974757	2086.98	mall	everyday	automated	spot	all-equity	5	15000	-1826.52	0.00	14.50	152	True	Reputation collapse (< 15)
3	21682349	1780974758	70365.34	mall	everyday	automated	spot	all-equity	8	8000	68022.36	0.00	14.82	77	True	Reputation collapse (< 15)
4	21682349	1780974759	40505.65	mall	everyday	automated	spot	all-equity	6	10000	37203.21	0.00	8.50	152	True	Reputation collapse (< 15)
5	21682349	1780974760	26527.36	mall	everyday	automated	spot	all-equity	6	8000	23312.75	0.00	5.50	182	True	Reputation collapse (< 15)
6	21682349	1780974761	49803.79	mall	everyday	automated	spot	all-equity	6	8000	43728.95	0.00	14.50	260	True	Reputation collapse (< 15)
7	21682349	1780974762	79520.20	mall	everyday	automated	spot	all-equity	5	8000	75893.17	0.00	7.00	152	True	Reputation collapse (< 15)
8	21682349	1780974763	-2276.39	mall	everyday	automated	spot	all-equity	8	15000	-7122.83	0.00	18.50	182	True	Bankruptcy: deeply negative cash
9	21682349	1780974764	21626.91	mall	everyday	automated	spot	all-equity	5	10000	17767.45	0.00	14.50	168	True	Reputation collapse (< 15)
10	21682349	1780974765	46989.35	mall	everyday	automated	spot	all-equity	7	12000	42078.77	0.00	14.50	183	True	Reputation collapse (< 15)
11	21682349	1780974766	53155.80	mall	everyday	automated	spot	all-equity	6	8000	48523.21	0.00	14.00	192	True	Reputation collapse (< 15)
12	21682349	1780974767	30600.56	mall	everyday	automated	spot	all-equity	6	8000	26036.66	0.00	13.50	212	True	Reputation collapse (< 15)
13	21682349	1780974768	-1595.97	mall	everyday	automated	spot	all-equity	8	15000	-5605.35	0.00	21.50	132	True	Bankruptcy: deeply negative cash
14	21682349	1780974769	56004.78	mall	everyday	automated	spot	all-equity	7	8000	52265.49	0.00	12.50	152	True	Reputation collapse (< 15)
15	21682349	1780974770	9409.40	mall	everyday	automated	spot	all-equity	5	15000	5352.21	0.00	14.00	167	True	Reputation collapse (< 15)
16	21682349	1780974771	15454.75	mall	everyday	automated	spot	all-equity	8	15000	11715.87	0.00	14.50	140	True	Reputation collapse (< 15)
17	21682349	1780974772	34722.95	mall	everyday	automated	spot	all-equity	5	10000	30231.16	0.00	14.50	194	True	Reputation collapse (< 15)
18	21682349	1780974773	30851.43	mall	everyday	automated	spot	all-equity	7	15000	28103.73	0.00	14.50	92	True	Reputation collapse (< 15)
19	21682349	1780974774	13552.46	mall	everyday	automated	spot	all-equity	7	8000	9318.13	0.00	14.50	202	True	Reputation collapse (< 15)
20	21682349	1780974775	-546.51	mall	everyday	automated	spot	all-equity	8	15000	-5061.35	0.00	17.50	166	True	Bankruptcy: deeply negative cash
21	21682349	1780974776	50874.40	mall	everyday	automated	spot	all-equity	6	10000	48289.29	0.00	14.50	92	True	Reputation collapse (< 15)
22	21682349	1780974777	19296.30	mall	everyday	automated	spot	all-equity	6	10000	14907.81	0.00	14.00	188	True	Reputation collapse (< 15)
23	21682349	1780974778	67100.77	mall	everyday	automated	spot	all-equity	8	8000	64414.95	0.00	14.60	98	True	Reputation collapse (< 15)
24	21682349	1780974779	44145.48	mall	everyday	automated	spot	all-equity	7	12000	40323.63	0.00	14.00	139	True	Reputation collapse (< 15)
25	21682349	1780974780	39312.34	mall	everyday	automated	spot	all-equity	5	10000	36177.18	0.00	14.00	126	True	Reputation collapse (< 15)
26	21682349	1780974781	57575.02	mall	everyday	automated	spot	all-equity	8	10000	52613.33	0.00	14.00	197	True	Reputation collapse (< 15)
27	21682349	1780974782	10614.15	mall	everyday	automated	spot	all-equity	5	15000	6844.92	0.00	11.00	152	True	Reputation collapse (< 15)
28	21682349	1780974783	57019.05	mall	everyday	automated	spot	all-equity	8	10000	53605.86	0.00	14.08	126	True	Reputation collapse (< 15)
29	21682349	1780974784	68428.23	mall	everyday	automated	spot	all-equity	6	12000	66185.92	0.00	13.50	62	True	Reputation collapse (< 15)
30	21682349	1780974785	66567.77	mall	everyday	automated	spot	all-equity	5	8000	59946.70	0.00	14.50	260	True	Reputation collapse (< 15)
31	21682349	1780974786	49555.27	mall	everyday	automated	spot	all-equity	5	10000	45483.58	0.00	14.50	161	True	Reputation collapse (< 15)
32	21682349	1780974787	-3929.41	mall	everyday	automated	spot	all-equity	6	12000	-7749.08	0.00	21.00	152	True	Bankruptcy: deeply negative cash
33	21682349	1780974788	54531.38	mall	everyday	automated	spot	all-equity	5	12000	50248.67	0.00	14.50	152	True	Reputation collapse (< 15)
34	21682349	1780974789	-780.72	mall	everyday	automated	spot	all-equity	8	15000	-5602.30	0.00	19.50	172	True	Bankruptcy: deeply negative cash
35	21682349	1780974790	46480.24	mall	everyday	automated	spot	all-equity	8	10000	42609.55	0.00	14.50	146	True	Reputation collapse (< 15)
36	21682349	1780974791	50524.09	mall	everyday	automated	spot	all-equity	5	8000	46360.79	0.00	12.50	182	True	Reputation collapse (< 15)
37	21682349	1780974792	16036.97	mall	everyday	automated	spot	all-equity	5	10000	11677.11	0.00	14.50	183	True	Reputation collapse (< 15)
38	21682349	1780974793	53146.97	mall	everyday	automated	spot	all-equity	8	12000	47714.32	0.00	14.50	201	True	Reputation collapse (< 15)
39	21682349	1780974794	68048.81	mall	everyday	automated	spot	all-equity	6	12000	63473.45	0.00	14.50	161	True	Reputation collapse (< 15)
40	21682349	1780974795	21636.53	mall	everyday	automated	spot	all-equity	8	12000	17284.98	0.00	14.50	189	True	Reputation collapse (< 15)
41	21682349	1780974796	5330.50	mall	everyday	automated	spot	all-equity	7	10000	1521.02	0.00	5.00	212	True	Reputation collapse (< 15)
42	21682349	1780974797	22119.80	mall	everyday	automated	spot	all-equity	7	15000	18438.35	0.00	14.50	132	True	Reputation collapse (< 15)
43	21682349	1780974798	16343.27	mall	everyday	automated	spot	all-equity	7	8000	11717.85	0.00	14.50	212	True	Reputation collapse (< 15)
44	21682349	1780974799	42603.95	mall	everyday	automated	spot	all-equity	7	10000	38749.40	0.00	14.00	153	True	Reputation collapse (< 15)
45	21682349	1780974800	26787.99	mall	everyday	automated	spot	all-equity	8	12000	22900.77	0.00	14.50	166	True	Reputation collapse (< 15)
46	21682349	1780974801	46874.82	mall	everyday	automated	spot	all-equity	6	12000	43794.18	0.00	14.00	105	True	Reputation collapse (< 15)
47	21682349	1780974802	17658.92	mall	everyday	automated	spot	all-equity	7	12000	13425.80	0.00	14.50	186	True	Reputation collapse (< 15)
48	21682349	1780974803	29503.42	mall	everyday	automated	spot	all-equity	8	12000	24804.27	0.00	14.50	204	True	Reputation collapse (< 15)
49	21682349	1780974804	8724.47	mall	everyday	automated	spot	all-equity	8	15000	3824.25	0.00	14.50	185	True	Reputation collapse (< 15)
50	21682349	1780974805	34995.92	mall	everyday	automated	spot	all-equity	5	10000	30838.15	0.00	14.00	167	True	Reputation collapse (< 15)
51	21682349	1780974806	44488.13	mall	everyday	automated	spot	all-equity	7	8000	39214.80	0.00	14.50	223	True	Reputation collapse (< 15)
52	21682349	1780974807	49233.38	mall	everyday	automated	spot	all-equity	8	12000	45359.12	0.00	11.00	152	True	Reputation collapse (< 15)
53	21682349	1780974808	34127.97	mall	everyday	automated	spot	all-equity	8	15000	29374.68	0.00	14.00	160	True	Reputation collapse (< 15)
54	21682349	1780974809	89005.27	mall	everyday	automated	spot	all-equity	6	10000	83520.49	0.00	14.50	181	True	Reputation collapse (< 15)
55	21682349	1780974810	64302.87	mall	everyday	automated	spot	all-equity	8	10000	60915.46	0.00	14.00	112	True	Reputation collapse (< 15)
56	21682349	1780974811	46892.21	mall	everyday	automated	spot	all-equity	8	8000	43529.38	0.00	14.50	146	True	Reputation collapse (< 15)
57	21682349	1780974812	33257.11	mall	everyday	automated	spot	all-equity	7	8000	29609.44	0.00	9.00	182	True	Reputation collapse (< 15)
58	21682349	1780974813	11097.41	mall	everyday	automated	spot	all-equity	6	12000	5621.95	0.00	14.00	230	True	Reputation collapse (< 15)
59	21682349	1780974814	406.85	mall	everyday	automated	spot	all-equity	7	15000	-5216.11	0.00	25.50	183	True	Bankruptcy: deeply negative cash
60	21682349	1780974815	46459.76	mall	everyday	automated	spot	all-equity	7	10000	42602.45	0.00	14.50	148	True	Reputation collapse (< 15)
61	21682349	1780974816	43931.77	mall	everyday	automated	spot	all-equity	5	10000	39982.43	0.00	14.50	147	True	Reputation collapse (< 15)
62	21682349	1780974817	19816.41	mall	everyday	automated	spot	all-equity	5	8000	16165.06	0.00	14.00	174	True	Reputation collapse (< 15)
63	21682349	1780974818	54713.27	mall	everyday	automated	spot	all-equity	8	12000	51373.12	0.00	14.00	118	True	Reputation collapse (< 15)
64	21682349	1780974819	10802.46	mall	everyday	automated	spot	all-equity	8	15000	7311.96	0.00	11.00	152	True	Reputation collapse (< 15)
65	21682349	1780974820	47736.02	mall	everyday	automated	spot	all-equity	6	12000	44409.22	0.00	14.00	118	True	Reputation collapse (< 15)
66	21682349	1780974821	59021.86	mall	everyday	automated	spot	all-equity	6	12000	55050.45	0.00	14.00	142	True	Reputation collapse (< 15)
67	21682349	1780974822	27771.77	mall	everyday	automated	spot	all-equity	6	15000	23473.53	0.00	14.50	154	True	Reputation collapse (< 15)
68	21682349	1780974823	36845.57	mall	everyday	automated	spot	all-equity	7	12000	33738.35	0.00	14.50	119	True	Reputation collapse (< 15)
69	21682349	1780974824	38495.75	mall	everyday	automated	spot	all-equity	7	10000	34290.79	0.00	14.00	175	True	Reputation collapse (< 15)
70	21682349	1780974825	60033.67	mall	everyday	automated	spot	all-equity	8	12000	57575.24	0.00	9.50	92	True	Reputation collapse (< 15)
71	21682349	1780974826	21133.45	mall	everyday	automated	spot	all-equity	7	15000	18072.79	0.00	14.50	104	True	Reputation collapse (< 15)
72	21682349	1780974827	21305.24	mall	everyday	automated	spot	all-equity	5	8000	17882.86	0.00	14.00	161	True	Reputation collapse (< 15)
73	21682349	1780974828	25980.24	mall	everyday	automated	spot	all-equity	5	12000	21906.46	0.00	14.50	173	True	Reputation collapse (< 15)
74	21682349	1780974829	47405.09	mall	everyday	automated	spot	all-equity	5	12000	42364.79	0.00	14.50	190	True	Reputation collapse (< 15)
75	21682349	1780974830	48045.02	mall	everyday	automated	spot	all-equity	8	10000	43530.68	0.00	14.50	169	True	Reputation collapse (< 15)
76	21682349	1780974831	23211.82	mall	everyday	automated	spot	all-equity	8	15000	18974.98	0.00	7.50	182	True	Reputation collapse (< 15)
77	21682349	1780974832	51861.80	mall	everyday	automated	spot	all-equity	5	8000	48413.77	0.00	14.50	132	True	Reputation collapse (< 15)
78	21682349	1780974833	41113.57	mall	everyday	automated	spot	all-equity	8	10000	36664.48	0.00	14.50	175	True	Reputation collapse (< 15)
79	21682349	1780974834	70139.98	mall	everyday	automated	spot	all-equity	6	12000	65560.97	0.00	14.50	157	True	Reputation collapse (< 15)
80	21682349	1780974835	-976.08	mall	everyday	automated	spot	all-equity	6	15000	-5593.19	0.00	27.00	135	True	Bankruptcy: deeply negative cash
81	21682349	1780974836	48466.60	mall	everyday	automated	spot	all-equity	6	12000	43031.46	0.00	14.50	211	True	Reputation collapse (< 15)
82	21682349	1780974837	81400.24	mall	everyday	automated	spot	all-equity	7	10000	78949.50	0.00	14.00	62	True	Reputation collapse (< 15)
83	21682349	1780974838	14030.86	mall	everyday	automated	spot	all-equity	7	12000	9789.33	0.00	14.00	185	True	Reputation collapse (< 15)
84	21682349	1780974839	45293.51	mall	everyday	automated	spot	all-equity	6	12000	41089.76	0.00	14.50	162	True	Reputation collapse (< 15)
85	21682349	1780974840	36682.98	mall	everyday	automated	spot	all-equity	8	15000	32530.54	0.00	14.00	148	True	Reputation collapse (< 15)
86	21682349	1780974841	80550.83	mall	everyday	automated	spot	all-equity	6	8000	76846.55	0.00	14.50	120	True	Reputation collapse (< 15)
87	21682349	1780974842	5995.11	mall	everyday	automated	spot	all-equity	8	12000	1654.30	0.00	7.50	212	True	Reputation collapse (< 15)
88	21682349	1780974843	-1068.92	mall	everyday	automated	spot	all-equity	8	15000	-5028.31	0.00	25.00	116	True	Bankruptcy: deeply negative cash
89	21682349	1780974844	31062.24	mall	everyday	automated	spot	all-equity	7	12000	27512.44	0.00	13.00	152	True	Reputation collapse (< 15)
90	21682349	1780974845	18742.63	mall	everyday	automated	spot	all-equity	7	12000	15720.73	0.00	9.50	152	True	Reputation collapse (< 15)
91	21682349	1780974846	19581.18	mall	everyday	automated	spot	all-equity	7	10000	15461.88	0.00	14.50	180	True	Reputation collapse (< 15)
92	21682349	1780974847	30764.44	mall	everyday	automated	spot	all-equity	8	12000	27134.61	0.00	13.00	152	True	Reputation collapse (< 15)
93	21682349	1780974848	95360.27	mall	everyday	automated	spot	all-equity	6	8000	88763.57	0.00	14.50	243	True	Reputation collapse (< 15)
94	21682349	1780974849	13372.04	mall	everyday	automated	spot	all-equity	7	12000	9746.59	0.00	14.50	160	True	Reputation collapse (< 15)
